Week of,,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Average
04/21/2013,,,,,93,136,124,,118
04/28/2013,,,82,74,93,94,85,,86
05/05/2013,,,84,90,94,90,82,,88
05/12/2013,,,83,79,90,84,77,,83
05/19/2013,,,87,85,85,85,75,,83
05/26/2013,,,,75,79,84,81,,80
06/02/2013,,,74,72,,,,,73
06/09/2013,,,102,99,105,98,92,,99
06/16/2013,,,93,102,102,107,91,,99
06/23/2013,,,94,99,106,100,92,,98
06/30/2013,,,73,81,84,,45,,71
07/07/2013,,,69,85,82,85,80,,80
07/14/2013,,,85,97,80,72,62,,79
07/21/2013,,,72,77,73,65,62,,70
07/28/2013,,,65,60,62,229,66,,96
08/04/2013,,,237,289,250,262,78,,223
08/11/2013,,,241,240,254,239,,,244
08/18/2013,,,248,254,263,261,95,,224
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
